Warning: Delays under 1 second may cause unreliable results with UDP scans, defaulting to 1s.
=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : UDP
Ports     : 200 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 1.0s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 107ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [6d68e239]: inbound UDP, 200 ports

  Scan [6d68e239] — inbound:

  Baseline (no IP options):
    UDP/41524  closed   [was open|filtered]
    UDP/49152  closed   [was open|filtered]
    UDP/49153  closed   [was open|filtered]
    UDP/49154  closed   [was open|filtered]
    UDP/49155  closed   [was open|filtered]
    UDP/49156  closed   [was open|filtered]
    UDP/49158  closed   [was open|filtered]
    UDP/49162  closed   [was open|filtered]
    UDP/49171  closed   [was open|filtered]
    UDP/49179  closed   [was open|filtered]
    UDP/49180  closed   [was open|filtered]
    UDP/49181  closed   [was open|filtered]
    UDP/49182  closed   [was open|filtered]
    UDP/49184  closed   [was open|filtered]
    UDP/49185  closed   [was open|filtered]
    UDP/49186  closed   [was open|filtered]
    UDP/49187  closed   [was open|filtered]
    UDP/49188  closed   [was open|filtered]
    UDP/49189  closed   [was open|filtered]
    UDP/49190  closed   [was open|filtered]
    UDP/49191  closed   [was open|filtered]
    UDP/49192  closed   [was open|filtered]
    UDP/49193  closed   [was open|filtered]
    UDP/49194  closed   [was open|filtered]
    UDP/49195  closed   [was open|filtered]
    UDP/49196  closed   [was open|filtered]
    UDP/49199  closed   [was open|filtered]
    UDP/49200  closed   [was open|filtered]
    UDP/49201  closed   [was open|filtered]
    UDP/49202  closed   [was open|filtered]
    UDP/49205  closed   [was open|filtered]
    UDP/49208  closed   [was open|filtered]
    UDP/49209  closed   [was open|filtered]
    UDP/49210  closed   [was open|filtered]
    UDP/49211  closed   [was open|filtered]
    UDP/65024  closed   [was open|filtered]

  With timestamp:
    UDP/7      open|filtered
    UDP/9      open|filtered
    UDP/13     open|filtered
    UDP/17     open|filtered
