=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 119ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [57d27f6a]: inbound TCP, 500 ports

  Scan [57d27f6a] — inbound:

  Baseline (no IP options):
    TCP/7938   filtered
    TCP/8000   filtered
    TCP/8001   filtered
    TCP/8008   filtered
    TCP/8009   filtered
    TCP/8010   filtered
    TCP/8031   filtered
    TCP/8080   filtered
    TCP/8081   filtered
    TCP/8181   filtered
    TCP/8193   filtered
    TCP/8443   filtered
    TCP/8888   filtered
    TCP/9000   filtered
    TCP/9020   filtered
    TCP/9090   filtered
    TCP/9100   filtered
    TCP/9102   filtered
    TCP/9103   filtered
    TCP/9199   filtered
    TCP/9200   filtered
    TCP/9876   filtered
    TCP/9950   filtered
    TCP/9999   filtered
    TCP/10000  filtered
    TCP/10010  filtered
    TCP/10080  filtered
    TCP/11487  filtered
    TCP/16402  filtered
    TCP/16430  filtered
    TCP/16680  filtered
    TCP/16832  filtered
    TCP/16918  filtered
    TCP/16947  filtered
    TCP/17091  filtered
    TCP/17185  filtered
    TCP/17455  filtered
    TCP/17459  filtered
    TCP/17573  filtered
    TCP/17615  filtered
    TCP/17616  filtered
    TCP/17888  filtered
    TCP/17939  filtered
    TCP/17989  filtered
    TCP/18004  filtered
    TCP/18234  filtered
    TCP/18331  filtered
    TCP/18360  filtered
    TCP/18449  filtered
    TCP/18582  filtered
    TCP/18835  filtered
    TCP/18980  filtered
    TCP/19017  filtered
    TCP/19039  filtered
    TCP/19120  filtered
    TCP/19130  filtered
    TCP/19165  filtered
    TCP/19197  filtered
    TCP/19283  filtered
    TCP/19294  filtered
    TCP/19322  filtered
    TCP/19332  filtered
    TCP/19489  filtered
    TCP/19503  filtered
    TCP/19600  filtered
    TCP/19616  filtered
    TCP/19682  filtered
    TCP/19687  filtered
    TCP/19933  filtered
    TCP/20004  filtered
    TCP/20019  filtered
    TCP/20031  filtered
    TCP/20126  filtered
    TCP/20359  filtered
    TCP/20389  filtered
    TCP/21131  filtered
    TCP/21212  filtered
    TCP/21261  filtered
    TCP/21298  filtered
    TCP/21354  filtered
    TCP/21383  filtered
    TCP/21621  filtered
    TCP/21803  filtered
    TCP/21902  filtered
    TCP/22055  filtered
    TCP/22341  filtered
    TCP/22692  filtered
    TCP/22695  filtered
    TCP/22739  filtered
    TCP/22799  filtered
    TCP/22846  filtered
    TCP/22914  filtered
    TCP/22986  filtered
    TCP/22996  filtered
    TCP/23040  filtered
    TCP/23176  filtered
    TCP/23354  filtered
    TCP/23531  filtered
    TCP/23557  filtered
    TCP/23608  filtered
    TCP/23679  filtered
    TCP/23781  filtered
    TCP/23965  filtered
    TCP/23980  filtered
    TCP/24007  filtered
    TCP/24279  filtered
    TCP/24511  filtered
    TCP/24594  filtered
    TCP/24606  filtered
    TCP/24644  filtered
    TCP/24854  filtered
    TCP/24910  filtered
    TCP/25003  filtered
    TCP/25157  filtered
    TCP/25240  filtered
    TCP/25280  filtered
    TCP/25375  filtered
    TCP/27015  filtered
    TCP/27195  filtered
    TCP/27892  filtered
    TCP/28547  filtered
    TCP/29823  filtered
    TCP/30303  filtered
    TCP/30365  filtered
    TCP/30718  filtered
    TCP/31073  filtered
    TCP/31337  filtered
    TCP/31681  filtered
    TCP/31891  filtered
    TCP/32768  filtered
    TCP/32769  filtered
    TCP/32770  filtered
    TCP/32771  filtered
    TCP/32772  filtered
    TCP/32773  filtered
    TCP/32774  filtered
    TCP/32775  filtered
    TCP/32776  filtered
    TCP/32777  filtered
    TCP/32779  filtered
    TCP/32815  filtered
    TCP/32818  filtered
    TCP/32931  filtered
    TCP/33281  filtered
    TCP/33354  filtered
    TCP/33355  filtered
    TCP/33744  filtered
    TCP/34125  filtered
    TCP/34555  filtered
    TCP/34861  filtered
    TCP/34862  filtered
    TCP/34892  filtered
    TCP/35438  filtered
    TCP/35777  filtered
    TCP/36206  filtered
    TCP/37444  filtered
    TCP/38037  filtered
    TCP/38293  filtered
    TCP/39213  filtered
    TCP/39888  filtered
    TCP/40116  filtered
    TCP/40441  filtered
    TCP/40708  filtered
    TCP/40732  filtered
    TCP/40915  filtered
    TCP/41058  filtered
    TCP/41081  filtered
    TCP/41370  filtered
    TCP/41524  filtered
    TCP/42172  filtered
    TCP/42508  filtered
    TCP/44968  filtered
    TCP/45441  filtered
    TCP/47624  filtered
    TCP/49152  filtered
    TCP/49153  filtered
    TCP/49154  filtered
    TCP/49155  filtered
    TCP/49156  filtered
    TCP/49157  filtered
    TCP/49158  filtered
    TCP/49159  filtered
    TCP/49160  filtered
    TCP/49161  filtered
    TCP/49162  filtered
    TCP/49163  filtered
    TCP/49165  filtered
    TCP/49166  filtered
    TCP/49167  filtered
    TCP/49168  filtered
    TCP/49169  filtered
    TCP/49170  filtered
    TCP/49171  filtered
    TCP/49172  filtered
    TCP/49173  filtered
    TCP/49174  filtered
    TCP/49175  filtered
    TCP/49176  filtered
    TCP/49179  filtered
    TCP/49180  filtered
    TCP/49181  filtered
    TCP/49182  filtered
    TCP/49184  filtered
    TCP/49185  filtered
    TCP/49186  filtered
    TCP/49187  filtered
    TCP/49188  filtered
    TCP/49189  filtered
    TCP/49190  filtered
    TCP/49191  filtered
    TCP/49192  filtered
    TCP/49193  filtered
    TCP/49194  filtered
    TCP/49195  filtered
    TCP/49196  filtered
    TCP/49197  filtered
    TCP/49198  filtered
    TCP/49199  filtered
    TCP/49200  filtered
    TCP/49201  filtered
    TCP/49202  filtered
    TCP/49204  filtered
    TCP/49205  filtered
    TCP/49207  filtered
    TCP/49208  filtered
    TCP/49209  filtered
    TCP/49210  filtered
    TCP/49211  filtered
    TCP/49212  filtered
    TCP/49213  filtered
