Warning: Delays under 1 second may cause unreliable results with UDP scans, defaulting to 1s.
=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : UDP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 1.0s
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 62ms — timeout set to 0.50s
[Client] Scan request [302e118f]: inbound UDP, 500 ports

    UDP/5000   open|filtered
    UDP/5001   open|filtered
    UDP/5002   open|filtered
    UDP/5003   open|filtered
    UDP/5009   open|filtered
    UDP/5050   open|filtered
    UDP/5051   open|filtered
    UDP/5060   open|filtered
    UDP/5093   open|filtered
    UDP/5101   open|filtered
    UDP/5120   open|filtered
    UDP/5190   open|filtered
    UDP/5351   open|filtered
    UDP/5353   open|filtered
    UDP/5355   open|filtered
    UDP/5357   open|filtered
    UDP/5432   open|filtered
    UDP/5500   open|filtered
    UDP/5631   open|filtered
    UDP/5632   open|filtered
    UDP/5666   open|filtered
    UDP/5800   open|filtered
    UDP/5900   open|filtered
    UDP/5901   open|filtered
    UDP/6000   open|filtered
    UDP/6001   open|filtered
    UDP/6004   open|filtered
    UDP/6346   open|filtered
    UDP/6347   open|filtered
    UDP/6646   open|filtered
    UDP/6970   open|filtered
    UDP/6971   open|filtered
    UDP/7000   open|filtered
    UDP/7070   open|filtered
    UDP/7938   open|filtered
    UDP/8000   open|filtered
    UDP/8001   open|filtered
    UDP/8008   open|filtered
    UDP/8009   open|filtered
    UDP/8010   open|filtered
    UDP/8031   open|filtered
    UDP/8080   open|filtered
    UDP/8081   open|filtered
    UDP/8181   open|filtered
    UDP/8193   open|filtered
    UDP/8443   open|filtered
    UDP/8888   open|filtered
    UDP/9000   open|filtered
    UDP/9020   open|filtered
    UDP/9090   open|filtered
    UDP/9100   open|filtered
    UDP/9102   open|filtered
    UDP/9103   open|filtered
    UDP/9199   open|filtered
    UDP/9200   open|filtered
    UDP/9876   open|filtered
    UDP/9950   open|filtered
    UDP/9999   open|filtered
    UDP/10000  open|filtered
    UDP/10010  open|filtered
    UDP/10080  open|filtered
    UDP/11487  open|filtered
    UDP/16402  open|filtered
    UDP/16430  open|filtered
    UDP/16680  open|filtered
    UDP/16832  open|filtered
    UDP/16918  open|filtered
    UDP/16947  open|filtered
    UDP/17091  open|filtered
    UDP/17185  open|filtered
    UDP/17455  open|filtered
    UDP/17459  open|filtered
    UDP/17573  open|filtered
    UDP/17615  open|filtered
    UDP/17616  open|filtered
    UDP/17888  open|filtered
    UDP/17939  open|filtered
    UDP/17989  open|filtered
    UDP/18004  open|filtered
    UDP/18234  open|filtered
    UDP/18331  open|filtered
    UDP/18360  open|filtered
    UDP/18449  open|filtered
    UDP/18582  open|filtered
    UDP/18835  open|filtered
    UDP/18980  open|filtered
    UDP/19017  open|filtered
    UDP/19039  open|filtered
    UDP/19120  open|filtered
    UDP/19130  open|filtered
    UDP/19165  open|filtered
    UDP/19197  open|filtered
    UDP/19283  open|filtered
    UDP/19294  open|filtered
    UDP/19322  open|filtered
    UDP/19332  open|filtered
    UDP/19489  open|filtered
    UDP/19503  open|filtered
    UDP/19600  open|filtered
    UDP/19616  open|filtered
    UDP/19682  open|filtered
    UDP/19687  open|filtered
    UDP/19933  open|filtered
    UDP/20004  open|filtered
    UDP/20019  open|filtered
    UDP/20031  open|filtered
    UDP/20126  open|filtered
    UDP/20359  open|filtered
    UDP/20389  open|filtered
    UDP/21131  open|filtered
    UDP/21212  open|filtered
    UDP/21261  open|filtered
    UDP/21298  open|filtered
    UDP/21354  open|filtered
    UDP/21383  open|filtered
    UDP/21621  open|filtered
    UDP/21803  open|filtered
    UDP/21902  open|filtered
    UDP/22055  open|filtered
    UDP/22341  open|filtered
    UDP/22692  open|filtered
    UDP/22695  open|filtered
    UDP/22739  open|filtered
    UDP/22799  open|filtered
    UDP/22846  open|filtered
    UDP/22914  open|filtered
    UDP/22986  open|filtered
    UDP/22996  open|filtered
    UDP/23040  open|filtered
    UDP/23176  open|filtered
    UDP/23354  open|filtered
    UDP/23531  open|filtered
    UDP/23557  open|filtered
    UDP/23608  open|filtered
    UDP/23679  open|filtered
    UDP/23781  open|filtered
    UDP/23965  open|filtered
    UDP/23980  open|filtered
    UDP/24007  open|filtered
    UDP/24279  open|filtered
    UDP/24511  open|filtered
    UDP/24594  open|filtered
    UDP/24606  open|filtered
    UDP/24644  open|filtered
    UDP/24854  open|filtered
    UDP/24910  open|filtered
    UDP/25003  open|filtered
    UDP/25157  open|filtered
    UDP/25240  open|filtered
    UDP/25280  open|filtered
    UDP/25375  open|filtered
    UDP/27015  open|filtered
    UDP/27195  open|filtered
    UDP/27892  open|filtered
    UDP/28547  open|filtered
    UDP/29823  open|filtered
    UDP/30303  open|filtered
    UDP/30365  open|filtered
    UDP/30718  open|filtered
    UDP/31073  open|filtered
    UDP/31337  open|filtered
    UDP/31681  open|filtered
    UDP/31891  open|filtered
    UDP/32768  open|filtered
    UDP/32769  open|filtered
    UDP/32770  open|filtered
    UDP/32771  open|filtered
    UDP/32772  open|filtered
