=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 200 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 164ms — timeout set to 0.65s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [3b187b16]: inbound TCP, 200 ports

  Scan [3b187b16] — inbound:

  Baseline (no IP options):
    TCP/161    closed   [was filtered]
    TCP/162    closed   [was filtered]
    TCP/177    closed   [was filtered]
    TCP/179    filtered
    TCP/199    closed   [was filtered]
    TCP/389    closed   [was filtered]
    TCP/407    closed   [was filtered]
    TCP/427    closed   [was filtered]
    TCP/443    closed   [was filtered]
    TCP/445    closed   [was filtered]
    TCP/465    closed   [was filtered]
    TCP/497    closed   [was filtered]
    TCP/500    closed   [was filtered]
    TCP/513    closed   [was filtered]
    TCP/514    closed   [was filtered]
    TCP/515    closed   [was filtered]
    TCP/517    closed   [was filtered]
    TCP/518    closed   [was filtered]
    TCP/520    closed   [was filtered]
    TCP/543    closed   [was filtered]
    TCP/544    closed   [was filtered]
    TCP/548    closed   [was filtered]
    TCP/554    closed   [was filtered]
    TCP/587    closed   [was filtered]
    TCP/593    closed   [was filtered]
    TCP/623    closed   [was filtered]
    TCP/626    closed   [was filtered]
    TCP/631    closed   [was filtered]
    TCP/646    closed   [was filtered]
    TCP/989    closed   [was filtered]
    TCP/990    closed   [was filtered]
    TCP/993    closed   [was filtered]
    TCP/995    closed   [was filtered]
    TCP/996    closed   [was filtered]
    TCP/997    closed   [was filtered]
    TCP/998    closed   [was filtered]
    TCP/999    closed   [was filtered]
    TCP/1001   closed   [was filtered]
    TCP/1022   closed   [was filtered]
    TCP/1023   closed   [was filtered]
    TCP/1025   closed   [was filtered]
    TCP/1026   closed   [was filtered]
    TCP/1027   closed   [was filtered]
    TCP/1028   closed   [was filtered]
    TCP/1029   closed   [was filtered]
    TCP/1030   closed   [was filtered]
    TCP/1031   closed   [was filtered]
    TCP/1032   closed   [was filtered]
    TCP/1034   closed   [was filtered]
    TCP/1041   closed   [was filtered]
    TCP/1045   closed   [was filtered]
    TCP/1068   closed   [was filtered]
    TCP/1110   closed   [was filtered]
    TCP/1433   closed   [was filtered]
    TCP/1434   closed   [was filtered]
