=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 59ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [1bb104a5]: inbound TCP, 500 ports
    
  Scan [1bb104a5] — inbound:

  Baseline (no IP options):
    TCP/9103   filtered
    TCP/9199   filtered
    TCP/9200   filtered
    TCP/9876   filtered
    TCP/9950   filtered
    TCP/9999   filtered
    TCP/10000  filtered
    TCP/10010  closed
    TCP/10080  closed
    TCP/11487  closed
    TCP/16402  closed
    TCP/16430  closed
    TCP/16680  closed
    TCP/16832  closed
    TCP/16918  closed
    TCP/16947  closed
    TCP/17091  closed
    TCP/17185  closed
    TCP/17455  closed
    TCP/17459  closed
    TCP/17573  closed
    TCP/17615  closed
    TCP/17616  closed
    TCP/17888  closed
    TCP/17939  closed
    TCP/17989  closed
    TCP/18004  closed
    TCP/18234  closed
    TCP/18331  closed
    TCP/18360  closed
    TCP/18449  closed
    TCP/18582  closed
    TCP/18835  closed
    TCP/18980  closed
    TCP/19017  closed
    TCP/19039  closed
    TCP/19120  closed
    TCP/19130  closed
    TCP/19165  closed
    TCP/19197  closed
    TCP/19283  closed
    TCP/19294  closed
    TCP/19322  closed
    TCP/19332  closed
    TCP/19489  closed
    TCP/19503  closed
    TCP/19600  closed
    TCP/19616  closed
    TCP/19682  closed
    TCP/19687  closed
    TCP/19933  closed
    TCP/20004  closed
    TCP/20019  closed
    TCP/20031  closed
    TCP/20126  closed
    TCP/20359  closed
    TCP/20389  closed
    TCP/21131  closed
    TCP/21212  closed
    TCP/21261  closed
    TCP/21298  closed
    TCP/21354  closed
    TCP/21383  closed
    TCP/21621  closed
    TCP/21803  closed
    TCP/21902  closed
    TCP/22055  closed
    TCP/22341  closed
    TCP/22692  closed
    TCP/22695  closed
    TCP/22739  closed
    TCP/22799  closed
    TCP/22846  closed
    TCP/22914  closed
    TCP/22986  closed
    TCP/22996  closed
    TCP/23040  closed
    TCP/23176  closed
    TCP/23354  closed
    TCP/23531  closed
    TCP/23557  closed
    TCP/23608  closed
    TCP/23679  closed
    TCP/23781  closed
    TCP/23965  closed
    TCP/23980  closed
    TCP/24007  closed
    TCP/24279  closed
    TCP/24511  closed
    TCP/24594  closed
    TCP/24606  closed
    TCP/24644  closed
    TCP/24854  closed
    TCP/24910  closed
    TCP/25003  closed
    TCP/25157  closed
    TCP/25240  closed
    TCP/25280  closed
    TCP/25375  closed
    TCP/27015  closed
    TCP/27195  closed
    TCP/27892  closed
    TCP/28547  closed
    TCP/29823  closed
    TCP/30303  closed
    TCP/30365  closed
    TCP/30718  closed
    TCP/31073  closed
    TCP/31337  closed
    TCP/31681  closed
    TCP/31891  closed
    TCP/32768  closed
    TCP/32769  closed
    TCP/32770  closed
    TCP/32771  closed
    TCP/32772  closed
    TCP/32773  closed
    TCP/32774  closed
    TCP/32775  closed
    TCP/32776  closed
    TCP/32777  closed
    TCP/32779  closed
    TCP/32815  closed
    TCP/32818  closed
    TCP/32931  closed
    TCP/33281  closed
